id,onpromotion,dcoilwtico,sales
3000888,0,46.8,4.4223785
3002670,0,47.07,4.468775
3004452,0,48.59,4.46625
3006234,0,48.190000000000005,4.469863
3008016,0,47.79,4.48392
3009798,0,47.39,4.447056
3011580,0,47.65,4.455376
3013362,0,48.45,4.4332795
3015144,0,47.24,4.3980536
3016926,0,47.65,4.3760433
3018708,0,47.233333333333334,4.35981
3020490,0,46.81666666666666,4.335881
3022272,0,46.4,4.320859
3024054,0,46.46,4.323984
3025836,0,45.96,4.327426
3027618,0,47.26,4.320594
3000889,0,46.8,4.855916e-05
3002671,0,47.07,-1.8157065e-05
3004453,0,48.59,2.4002045e-05
3006235,0,48.190000000000005,-2.6449561e-05
3008017,0,47.79,-9.249151e-05
3009799,0,47.39,-5.986914e-05
3011581,0,47.65,-8.1487e-05
3013363,0,48.45,-4.6592206e-05
3015145,0,47.24,-6.28531e-05
3016927,0,47.65,-1.251325e-05
3018709,0,47.233333333333334,-4.664436e-05
3020491,0,46.81666666666666,4.1373074e-05
3022273,0,46.4,1.527369e-07
3024055,0,46.46,-1.6532838e-05
3025837,0,45.96,1.0751188e-05
3027619,0,47.26,-5.6028366e-05
3000890,2,46.8,2.9450974
3002672,1,47.07,2.9422352
3004454,1,48.59,2.9344897
3006236,1,48.190000000000005,2.9313054
3008018,1,47.79,2.9241161
3009800,1,47.39,2.9116998
3011582,0,47.65,2.9223518
3013364,1,48.45,2.9201157
3015146,0,47.24,2.9284186
3016928,0,47.65,2.9198477
3018710,1,47.233333333333334,2.9200587
3020492,1,46.81666666666666,2.9352365
3022274,1,46.4,2.9341052
3024056,1,46.46,2.932331
3025838,0,45.96,2.9230177
3027620,1,47.26,2.9231653
3000891,20,46.8,2187.2234
3002673,17,47.07,2181.145
3004455,12,48.59,2176.884
3006237,11,48.190000000000005,2167.4204
3008019,10,47.79,2161.061
3009801,14,47.39,2165.431
3011583,9,47.65,2166.9897
3013365,27,48.45,2167.911
3015147,26,47.24,2179.266
3016929,32,47.65,2178.8032
3018711,32,47.233333333333334,2174.6467
3020493,23,46.81666666666666,2180.6594
3022275,31,46.4,2177.4692
3024057,31,46.46,2174.1472
3025839,35,45.96,2171.9421
3027621,33,47.26,2172.975
3000892,0,46.8,0.0019211173
3002674,0,47.07,0.0016664863
3004456,0,48.59,0.0021006465
3006238,0,48.190000000000005,0.0020183325
3008020,0,47.79,0.0017153025
3009802,0,47.39,0.0018620491
3011584,0,47.65,0.0021705031
3013366,0,48.45,0.0021569133
3015148,0,47.24,0.0020987988
3016930,0,47.65,0.0023878217
3018712,0,47.233333333333334,0.0021599531
3020494,0,46.81666666666666,0.0025120974
3022276,0,46.4,0.00225842
3024058,0,46.46,0.0026322007
3025840,0,45.96,0.002667129
3027622,0,47.26,0.0025479198
3000893,12,46.8,384.69907
3002675,7,47.07,384.6164
3004457,10,48.59,384.83752
3006239,9,48.190000000000005,385.07983
3008021,5,47.79,385.0766
3009803,10,47.39,385.09406
3011585,6,47.65,385.505
3013367,14,48.45,385.35583
3015149,1,47.24,385.54544
3016931,2,47.65,385.54877
3018713,3,47.233333333333334,385.8016
3020495,5,46.81666666666666,385.8214
3022277,1,46.4,385.97903
3024059,5,46.46,386.40146
3025841,7,45.96,386.22876
3027623,4,47.26,386.33307
3000894,0,46.8,13.520323
3002676,0,47.07,13.546826
3004458,0,48.59,13.599057
3006240,0,48.190000000000005,13.666324
3008022,0,47.79,13.653735
3009804,0,47.39,13.64894
3011586,0,47.65,13.576604
3013368,0,48.45,13.573208
3015150,0,47.24,13.574772
3016932,0,47.65,13.571865
3018714,0,47.233333333333334,13.554552
3020496,0,46.81666666666666,13.590063
3022278,0,46.4,13.600273
3024060,0,46.46,13.632077
3025842,0,45.96,13.664266
3027624,0,47.26,13.680552
3000895,25,46.8,645.16846
3002677,7,47.07,644.8094
3004459,6,48.59,644.0152
3006241,11,48.190000000000005,645.2732
3008023,4,47.79,645.6444
3009805,9,47.39,646.36993
3011587,10,47.65,646.61554
3013369,11,48.45,646.6958
3015151,12,47.24,646.33044
3016933,8,47.65,644.75757
3018715,10,47.233333333333334,645.66406
3020497,7,46.81666666666666,645.7411
3022279,11,46.4,646.313
3024061,13,46.46,646.148
3025843,11,45.96,645.7017
3027625,12,47.26,644.6563
3000896,45,46.8,726.025
3002678,13,47.07,726.2516
3004460,18,48.59,725.9634
3006242,20,48.190000000000005,727.4726
3008024,17,47.79,727.35925
3009806,20,47.39,727.2936
3011588,18,47.65,728.6011
3013370,22,48.45,728.52545
3015152,13,47.24,728.55365
3016934,12,47.65,727.9095
3018716,12,47.233333333333334,728.49207
3020498,7,46.81666666666666,728.3476
3022280,12,46.4,728.4744
3024062,13,46.46,729.16785
3025844,16,45.96,729.44055
3027626,11,47.26,729.761
3000897,18,46.8,133.01616
3002679,7,47.07,133.02638
3004461,52,48.59,133.05223
3006243,6,48.190000000000005,133.14767
3008025,6,47.79,133.14342
3009807,7,47.39,133.06065
3011589,7,47.65,133.11696
3013371,11,48.45,133.12756
3015153,11,47.24,133.14659
3016935,52,47.65,133.1286
3018717,8,47.233333333333334,133.1514
3020499,6,46.81666666666666,133.16008
3022281,10,46.4,133.05914
3024063,7,46.46,133.14304
3025845,5,45.96,133.13515
3027627,5,47.26,133.1305
3000898,1,46.8,138.17456
3002680,0,47.07,138.18553
3004462,25,48.59,138.16135
3006244,0,48.190000000000005,138.16608
3008026,0,47.79,138.14432
3009808,0,47.39,138.09712
3011590,0,47.65,138.14125
3013372,0,48.45,138.07211
3015154,0,47.24,138.06966
3016936,26,47.65,138.06055
3018718,0,47.233333333333334,138.10991
3020500,0,46.81666666666666,138.09967
3022282,0,46.4,138.09624
3024064,0,46.46,138.11945
3025846,0,45.96,138.05327
3027628,0,47.26,138.07288
3000899,1,46.8,176.64058
3002681,0,47.07,176.72913
3004463,0,48.59,176.40674
